Complexity,Loss,Equation
1,0.7989516,"-1.1223005"
3,0.4176666,"-1.5523704 / x0"
5,0.22103883,"(-1.2607479 / x0) * x1"
7,6.873169e-15,"0.0 - (x1 * (x2 / x0))"
9,6.8636206e-15,"(((x1 * 1.5043154e-8) - x2) / x0) * x1"
11,6.7215122e-15,"((x1 * (1.7128784e-8 / x0)) - x1) * (x2 / x0)"
13,6.636247e-15,"(x2 / x0) * ((((x1 * 8.72614e-9) / x0) / x0) - x1)"
